priority,score,business_name,niche,city,zone,rating,reviews_count,website_status,website_url,google_maps_url,phone,email,instagram,contact_person,problem_detected,demo_url,homepage_url,first_message,verification_notes,last_checked,whatsapp_source_url,whatsapp_evidence
A,10,Dental group Dr.Wong,Dental,Mexicali,Zona Centro,,,WhatsApp público encontrado,,,5216865556210,,,No público,Contacto WhatsApp público confirmado en fuente pública,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,,Fuente publica indica Agenda por WhatsApp 686 555 6210.,2026-06-17,https://www.findglocal.com/MX/Mexicali/105130446269831/Dental-group-Dr.Wong,Fuente publica indica Agenda por WhatsApp 686 555 6210.
A,10,Clínica Vazquez,Clínica estética,Agua Prieta,Calle 3 Avenue 8,,,WhatsApp público encontrado,,,5216624297105,,,No público,Contacto WhatsApp público confirmado en fuente pública,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,,Fuente publica indica WhatsApp: 662 429 7105.,2026-06-17,https://www.findglocal.com/MX/Agua-Prieta/131545120238480/Clinica-Vazquez,Fuente publica indica WhatsApp: 662 429 7105.
A,10,Clínica Médica El Rosario,Clínica médica,CDMX,El Rosario,,,WhatsApp público encontrado,,,5215573504496,,,No público,Contacto WhatsApp público confirmado en fuente pública,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,,Fuente publica indica Agenda por WhatsApp al +52 55 7350 4496.,2026-06-17,https://www.findglocal.com/MX/Mexico-City/253790161305821/Clinica-Medica-El-Rosario,Fuente publica indica Agenda por WhatsApp al +52 55 7350 4496.
A,10,Life Grupo Médico,Clínica médica,Mexicali,San Pedro,,,WhatsApp público encontrado,,,5216862761708,,,No público,Contacto WhatsApp público confirmado en fuente pública,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,,Fuente publica indica número de atención vía WhatsApp 686-276-1708.,2026-06-17,https://www.findglocal.com/MX/Mexicali/2313782622020218/Life-Grupo-M%C3%A9dico,Fuente publica indica número de atención vía WhatsApp 686-276-1708.
A,10,UREUS Clinic Oficial,Clínica médica,CDMX,Bosques de Tetlameya,,,WhatsApp público encontrado,,,5215580030570,,,No público,Contacto WhatsApp público confirmado en fuente pública,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,,Fuente publica indica WhatsApp al +52 55 8003 0570.,2026-06-17,https://www.findglocal.com/MX/Mexico-City/101165896140006/UREUS-Clinic-Oficial,Fuente publica indica WhatsApp al +52 55 8003 0570.
A,10,Human,Clínica médica,Minatitlán,Centro,,,WhatsApp público encontrado,,,5219221867607,,,No público,Contacto WhatsApp público confirmado en fuente pública,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,,Fuente publica indica WhatsApp: 922 186 7607.,2026-06-17,https://www.findglocal.com/MX/Minatitl%C3%A1n/104559165809533/Human,Fuente publica indica WhatsApp: 922 186 7607.
A,10,CIMO Hospital,Clínica médica,Ciudad Valles,Zona centro,,,WhatsApp público encontrado,,,5214811127885,,,No público,Contacto WhatsApp público confirmado en fuente pública,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,,Fuente publica indica WhatsApp: 481 112 7885.,2026-06-17,https://www.findglocal.com/MX/Ciudad-Valles/104784385537373/CIMO-Hospital,Fuente publica indica WhatsApp: 481 112 7885.
A,10,Clinica Lancet,Clínica médica,Reynosa,Av. José Zertuche,,,WhatsApp público encontrado,,,5218997543466,,,No público,Contacto WhatsApp público confirmado en fuente pública,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,,Fuente publica indica Agenda por WhatsApp al 8997543466.,2026-06-17,https://www.findglocal.com/MX/Reynosa/178469205666917/Clinica-Lancet,Fuente publica indica Agenda por WhatsApp al 8997543466.
A,10,Smart Fisio Mor,Fisioterapia,Cuernavaca,Vista Hermosa,,,WhatsApp público encontrado,,,5217774224548,,,No público,Contacto WhatsApp público confirmado en fuente pública,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,,Fuente publica indica WhatsApp: 777 422 45 48.,2026-06-17,https://www.findglocal.com/MX/Cuernavaca/705586599861493/Smart-Fisio-Mor,Fuente publica indica WhatsApp: 777 422 45 48.
A,10,MiPhysio,Fisioterapia,CDMX,Anáhuac,,,WhatsApp público encontrado,,,5215532817346,,,No público,Contacto WhatsApp público confirmado en fuente pública,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,,Fuente publica indica Whatsapp: 55 3281 7346.,2026-06-17,https://www.findglocal.com/MX/Mexico-City/305000186639177/MiPhysio,Fuente publica indica Whatsapp: 55 3281 7346.
A,10,FyK Sport,Fisioterapia,Guadalajara,Oblatos,,,WhatsApp público encontrado,,,5213323016638,,,No público,Contacto WhatsApp público confirmado en fuente pública,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,,Fuente publica indica Escríbenos por WhatsApp 3323016638.,2026-06-17,https://www.findglocal.com/MX/Guadalajara/375419226140534/FyK-Sport,Fuente publica indica Escríbenos por WhatsApp 3323016638.
A,10,Nutrióloga Selma Chávez,Nutrición,Huauchinango,Paraíso,,,WhatsApp público encontrado,,,5217761535841,,,No público,Contacto WhatsApp público confirmado en fuente pública,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,,Fuente publica indica WhatsApp: 776 153 5841.,2026-06-17,https://www.findglocal.com/MX/Huauchinango/910548366002494/Nutri%C3%B3loga-Selma-Ch%C3%A1vez,Fuente publica indica WhatsApp: 776 153 5841.
A,10,Animal Care,Veterinaria,Nogales,Plutarco Elías Calles,,,WhatsApp público encontrado,,,5216313028314,,,No público,Contacto WhatsApp público confirmado en fuente pública,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,,Fuente publica indica WhatsApp 631 302 8314.,2026-06-17,https://www.findglocal.com/MX/Nogales/801282979889754/Animal-Care,Fuente publica indica WhatsApp 631 302 8314.
A,10,Diwali Clínica Veterinaria,Veterinaria,Santa Catarina,Santa Catarina,,,WhatsApp público encontrado,,,5218131763917,,,No público,Contacto WhatsApp público confirmado en fuente pública,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,,Fuente publica indica Agenda por WhatsApp: 81 3176 3917.,2026-06-17,https://www.findglocal.com/MX/Santa-Catarina/1983204758607763/Diwali-Cl%C3%ADnica-Veterinaria,Fuente publica indica Agenda por WhatsApp: 81 3176 3917.
A,10,Reino Animal Puebla,Veterinaria,Puebla,Plaza Magestic,,,WhatsApp público encontrado,,,5212222517057,,,No público,Contacto WhatsApp público confirmado en fuente pública,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,,Fuente publica indica WhatsApp: 222 251 7057.,2026-06-17,https://www.findglocal.com/MX/Puebla/485255001486493/Reino-Animal-Puebla,Fuente publica indica WhatsApp: 222 251 7057.
A,10,La Casa Vieja Zihuatanejo,Restaurante boutique,Zihuatanejo,Playa Eréndira,,,WhatsApp público encontrado,,,527551131533,,,No público,Contacto WhatsApp público confirmado en fuente pública,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,,Fuente publica indica WhatsApp: https://wa.me/527551131533.,2026-06-17,https://www.findglocal.com/MX/Zihuatanejo/342244579161540/La-Casa-Vieja-Zihuatanejo,Fuente publica indica WhatsApp: https://wa.me/527551131533.
A,10,Restaurante El Muelle,Restaurante boutique,Tepotzotlán,Abekany Camp,,,WhatsApp público encontrado,,,5215612768717,,,No público,Contacto WhatsApp público confirmado en fuente pública,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,,Fuente publica indica Reserva aquí: https://wa.me/5215612768717.,2026-06-17,https://www.findglocal.com/MX/Ca%C3%B1ada-de-Cisneros/111165857724631/Restaurante--El-Muelle,Fuente publica indica Reserva aquí: https://wa.me/5215612768717.
A,10,Restaurante La Playita,Restaurante boutique,Monterrey,Mitras Centro,,,WhatsApp público encontrado,,,528125671544,,,No público,Contacto WhatsApp público confirmado en fuente pública,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,,Fuente publica indica WhatsApp: wa.me/528125671544.,2026-06-17,https://www.findglocal.com/MX/Monterrey/260479280803019/Restaurante-La-Playita,Fuente publica indica WhatsApp: wa.me/528125671544.
A,10,Octo Restaurante,Restaurante boutique,Guadalajara,Lafayette,,,WhatsApp público encontrado,,,5213323393908,,,No público,Contacto WhatsApp público confirmado en fuente pública,https://nexo-local-studio-public.vercel.app/demos,https://nexo-local-studio-public.vercel.app/demos,,Fuente publica indica Reserva al WhatsApp 33 2339 3908.,2026-06-17,https://www.findglocal.com/MX/Guadalajara/101809918565327/Octo-Restaurante,Fuente publica indica Reserva al WhatsApp 33 2339 3908.
